Date,Name,Address,City,State,Zip,Purpose,Amount
2021-02-02,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,80.30
2021-02-05,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,20000.00
2021-02-17,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,1670.60
2021-02-19,"Shutts & Bowen, LLP","200 S. Biscayne Blvd., #4100",Miami,FL,33131,legal fees,315.00
2021-02-23,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,3000.60
2021-03-02,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,5200.90
2021-03-03,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,10000.00
2021-03-09,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,3317.54
2021-03-09,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,1001.20
2021-03-16,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,4302.70
2021-03-23,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,8084.20
2021-03-30,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,11303.00
2021-04-06,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,11085.70
2021-04-09,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,10000.00
2021-04-13,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,4214.40
2021-04-13,United States Treasury,Internal Revenue Service Center,Ogden,UT,84201,income taxes,847.00
2021-04-21,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,20302.84
2021-04-28,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,26591.50
2021-05-05,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,28486.77
2021-05-05,Bank of Tampa,601 Bayshore Blvd.,Tampa,FL,33606,service charge,10.00
2021-05-06,"Aristotle International, Inc.","205 Pennsylvania Avenue, S.E.",Washington,DC,20003,software,4500.00
2021-05-11,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,2261.03
2021-05-11,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,10000.00
2021-05-12,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,8789.13
2021-05-13,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,2544.50
2021-05-19,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,30831.49
2021-05-20,"Aristotle International, Inc.","205 Pennsylvania Avenue, S.E.",Washington,DC,20003,software,1350.00
2021-05-26,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,3775.02
2021-06-01,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,10000.00
2021-06-02,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,27296.19
2021-06-08,"Ello Creative, LLC",2003 Ellicott Drive,Tallahassee,FL,32308,advertising,15000.00
2021-06-09,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,17786.58
2021-06-14,"Ello Creative, LLC",2003 Ellicott Drive,Tallahassee,FL,32308,advertising,15000.00
2021-06-15,Nicole Rees,1439 Spruce Avenue,Tallahassee,FL,32303,fundraising expenses,18655.74
2021-06-15,"Eleventh Street Strategies, LLC","10 K Street S.E., #704",Washington,DC,20003,fundraising expenses,332.70
2021-06-15,"Eleventh Street Strategies, LLC","10 K Street S.E., #704",Washington,DC,20003,fundraising consulting,50000.00
2021-06-16,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,21219.06
2021-06-18,Epyon Technologies,315 Beard Street,Tallahassee,FL,32303,IT and web support,5250.00
2021-06-18,Sapphire Catering,"32158 Camino Capistrano, #A-198",San Juan Capistrano,CA,92675,catering,16906.50
2021-06-18,"Eleventh Street Strategies, LLC","10 K Street S.E., #704",Washington,DC,20003,fundraising consulting,10150.00
2021-06-18,Southern Highlands Golf Club,One Robert Trent Jones Lane,Las Vegas,NV,89141,catering,9043.53
2021-06-18,ImageActive LLC,4191 Stansbury Avenue,Sherman Oaks,CA,91423,photography,921.00
2021-06-18,"Eleventh Street Strategies, LLC","10 K Street S.E., #704",Washington,DC,20003,catering,14611.14
2021-06-18,"Eleventh Street Strategies, LLC","10 K Street S.E., #704",Washington,DC,20003,fundraising consulting,25300.00
2021-06-21,"Ello Creative, LLC",2003 Ellicott Drive,Tallahassee,FL,32308,advertising,15000.00
2021-06-23,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising expenses/travel,23628.23
2021-06-23,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,13231.33
2021-06-24,"Shutts & Bowen, LLP","200 S. Biscayne Blvd., #4100",Miami,FL,33131,legal fees,2070.00
2021-06-25,Michael Hopkins Photography,738 S.W. 119th Way,Davie,FL,33325,photography,10343.51
2021-06-29,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,9788.41
2021-06-30,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,7792.02
2021-07-02,Michael Hopkins Photography,738 S.W. 119th Way,Davie,FL,33325,photography,919.83
2021-07-02,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,10000.00
2021-07-02,Elegant By Design,"18440 Amistad Street, #C & D",Fountain Valley,CA,92708,event rental,2474.00
2021-07-07,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,7243.46
2021-07-09,Epyon Technologies,315 Beard Street,Tallahassee,FL,32303,IT and web support,5250.00
2021-07-13,Michael Hopkins Photography,738 S.W. 119th Way,Davie,FL,33325,photography,898.40
2021-07-14,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,313.02
2021-07-16,"Ello Creative, LLC",2003 Ellicott Drive,Tallahassee,FL,32308,advertising,25000.00
2021-07-20,Joe Indovina Photography,P.O. Box 456,Ambridge,PA,15003,photography,454.75
2021-07-20,Michael Hopkins Photography,738 S.W. 119th Way,Davie,FL,33325,photography,267.60
2021-07-21,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,7292.97
2021-07-27,"Salesforce.com, Inc.","415 Mission Street, 3rd Floor",San Francisco,CA,94105,database services,200836.39
2021-07-28,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,27281.39
2021-07-28,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,9106.27
2021-07-30,Active Engagement,"113 E. Market Street, #300",Leesburg,VA,20176,email fundraising,20103.25
2021-07-30,"Maverick Digital, Inc.",3104 W. Hartnett Avenue,Tampa,FL,33611,media consulting,8877.50
2021-07-30,"Daily Wire, LLC","1831 12th Avenue S., #460",Nashville,TN,37203,list rental,3000.00
2021-08-03,"Ace Specialties, LLC",P.O. Box 80427,Lafayette,LA,70598,store inventory,247.00
2021-08-03,Epyon Technologies,315 Beard Street,Tallahassee,FL,32303,IT and web support,5250.00
2021-08-04,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,23468.65
2021-08-06,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,10000.00
2021-08-06,Republican Party of Florida,420 E. Jefferson Street,Tallahassee,FL,32301,digital consulting,11058.48
2021-08-06,"Shutts & Bowen, LLP","200 S. Biscayne Blvd., #4100",Miami,FL,33131,legal fees,8317.50
2021-08-09,"Ello Creative, LLC",2003 Ellicott Drive,Tallahassee,FL,32308,advertising,25000.00
2021-08-10,Michael Hopkins Photography,738 S.W. 119th Way,Davie,FL,33325,photography,298.30
2021-08-10,The Bank of Tampa,601 Bayshore Blvd.,Tampa,FL,33606,service charge,22.04
2021-08-10,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,26792.73
2021-08-11,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,21941.66
2021-08-12,Paramount Communications,"525K E. Market Street, #114",Leesburg,VA,20176,fundraising expenses,6176.54
2021-08-13,The Babylon Bee,P.O. Box 546,Jupiter,FL,33468,list rental,5000.00
2021-08-13,TMA Direct Inc.,"1900 Reston Metro Plaza, #600",Reston,VA,20191,fundraising expenses,11272.10
2021-08-17,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,935.84
2021-08-18,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,9718.36
2021-08-19,"Ace Specialties, LLC",P.O. Box 80427,Lafayette,LA,70598,store inventory,398264.00
2021-08-23,"Ello Creative, LLC",2003 Ellicott Drive,Tallahassee,FL,32308,advertising,25000.00
2021-08-24,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,407.87
2021-08-25,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,25126.81
2021-08-25,Michael Hopkins Photography,738 S.W. 119th Way,Davie,FL,33325,photography,3770.00
2021-08-25,"Ello Creative, LLC",2003 Ellicott Drive,Tallahassee,FL,32308,digital consulting,30000.00
2021-08-25,Michael Hopkins Photography,738 S.W. 119th Way,Davie,FL,33325,travel,991.12
2021-08-25,"Base EngageR, LLC","122 N. Vale Street, Suite A",Jefferson,TX,75657,fundraising fees,6798.79
2021-08-25,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,24504.07
2021-08-27,"Aristotle International, Inc.","205 Pennsylvania Avenue, S.E.",Washington,DC,20003,software,2550.00
2021-08-31,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,9070.58
2021-08-31,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,286.77
2021-09-03,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,5283.57
2021-09-07,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,221.71
2021-09-07,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,10000.00
2021-09-08,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,5120.13
2021-09-08,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,291.42
2021-09-09,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,2679.72
2021-09-09,"Grabien, Inc.","1820 Avenue M, #1163",Brooklyn,NY,11230,media services,1500.00
2021-09-10,"Blaze Media, LLC","8275 S. Eastern Ave., #200-245",Las Vegas,NV,89123,list rental,2500.00
2021-09-13,Republican Party of Florida,420 E. Jefferson Street,Tallahassee,FL,32301,digital consulting,7448.66
2021-09-13,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,3754.94
2021-09-14,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,175.83
2021-09-15,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,2225.22
2021-09-16,"Ace Specialties, LLC",P.O. Box 80427,Lafayette,LA,70598,store inventory,43836.00
2021-09-17,TMA Direct Inc.,"1900 Reston Metro Plaza, #600",Reston,VA,20191,fundraising expense,23541.34
2021-09-17,"Maverick Digital, Inc.",3104 W. Hartnett Avenue,Tampa,FL,33611,media consulting,2250.00
2021-09-17,Paramount Communications,"525K E. Market Street, #114",Leesburg,VA,20176,fundraising expense,18339.14
2021-09-17,Epyon Technologies,315 Beard Street,Tallahassee,FL,32303,IT and web support,5250.00
2021-09-17,Supernova Digital Communications,P. O. Box 10362,Tallahassee,FL,32302,advertising,899.00
2021-09-17,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising expenses,21935.26
2021-09-17,"Ello Creative, LLC",2003 Ellicott Drive,Tallahassee,FL,32308,advertising,25000.00
2021-09-21,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,157.89
2021-09-22,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,22589.03
2021-09-28,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,107.34
2021-09-29,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,23708.38
2021-10-01,"Ello Creative, LLC",2003 Ellicott Drive,Tallahassee,FL,32308,digital consulting,7500.00
2021-10-01,Believe Media,41898 Beningbrough Place,Leesburg,PA,20176,fundraising expense,4698.40
2021-10-01,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,15761.83
2021-10-05,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,616.60
2021-10-05,Matrix Jet Charters,"4275 Executive Square, #200",La Jolla,CA,92037,transportation,5460.00
2021-10-05,Republican Party of Florida,420 E. Jefferson Street,Tallahassee,FL,32301,digital consulting,8320.83
2021-10-05,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,3199.78
2021-10-06,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,323.58
2021-10-06,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,5673.72
2021-10-08,Dickinson Wright PLLC,"1825 Eye Street, N.W., Suite 900",Washington,DC,20006,legal fees,5000.00
2021-10-08,Bill Hansen Catering,2167 S. Bayshore Drive,Miami,FL,33133,catering,13955.00
2021-10-08,TMA Direct Inc.,"1900 Reston Metro Plaza, #600",Reston,VA,20191,fundraising expense,5101.82
2021-10-08,Paramount Communications,"525K E. Market Street, #114",Leesburg,VA,20176,fundraising expense,14910.00
2021-10-13,"Shutts & Bowen, LLP","200 S. Biscayne Blvd., #4100",Miami,FL,33131,legal fees,27117.50
2021-10-13,"Ace Specialties, LLC",P.O. Box 80427,Lafayette,LA,70598,store inventory,18693.00
2021-10-13,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,29879.70
2021-10-13,Epyon Technologies,315 Beard Street,Tallahassee,FL,32303,IT and web support,5250.00
2021-10-13,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,10000.00
2021-10-13,Michael Hopkins Photography,738 S.W. 119th Way,Davie,FL,33325,photography,8335.75
2021-10-13,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising expenses,14594.10
2021-10-13,"Ello Creative, LLC",2003 Ellicott Drive,Tallahassee,FL,32308,digital consulting,7500.00
2021-10-13,Dickinson Wright PLLC,"1825 Eye Street, N.W., Suite 900",Washington,DC,20006,legal fees,3236.70
2021-10-13,The Bank of Tampa,601 Bayshore Blvd.,Tampa,FL,33606,deposit supplies,65.42
2021-10-13,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,7044.14
2021-10-15,Michael Hopkins Photography,738 S.W. 119th Way,Davie,FL,33325,travel,1320.18
2021-10-19,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,1821.12
2021-10-19,"ZDB, Inc.",P.O. Box 347155,Coral Gables,FL,33234,fundraising consulting,72000.00
2021-10-19,Rosewood Sand Hill,2825 Sand Hill Road,Menlo Park,CA,94025,catering,3616.41
2021-10-20,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,1593.95
2021-10-20,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,39.26
2021-10-26,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,3555.28
2021-10-27,Michael Hopkins Photography,738 S.W. 119th Way,Davie,FL,33325,travel,811.87
2021-10-27,Michael Hopkins Photography,738 S.W. 119th Way,Davie,FL,33325,photography,2783.30
2021-10-27,"Ace Specialties, LLC",P.O. Box 80427,Lafayette,LA,70598,store inventory,11439.27
2021-10-27,Stacy Davis & Associates,24651 Evereve Circle,Lake Forest,CA,92630,fundraising consulting,38360.00
2021-10-27,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,7537.38
2021-10-28,"Ello Creative, LLC",2003 Ellicott Drive,Tallahassee,FL,32308,advertising,5000.00
2021-11-02,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,2615.59
2021-11-03,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,2896.05
2021-11-04,"Aristotle International, Inc.","205 Pennsylvania Avenue, S.E.",Washington,DC,20003,software,2550.00
2021-11-04,Republican Party of Florida,420 E. Jefferson Street,Tallahassee,FL,32301,digital consulting,7626.38
2021-11-05,"Eleventh Street Strategies, LLC","10 K Street S.E., #704",Washington,DC,20003,fundraising consulting,180246.50
2021-11-09,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,1510.40
2021-11-10,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,4495.84
2021-11-11,Michael Hopkins Photography,738 S.W. 119th Way,Davie,FL,33325,photography,2462.74
2021-11-11,"Ace Specialties, LLC",P.O. Box 80427,Lafayette,LA,70598,store inventory,972.00
2021-11-11,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,17874.60
2021-11-15,Villa Taverna,27 Hotaling Place,San Francisco,CA,94111,food and beverage,2383.74
2021-11-16,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,161.68
2021-11-17,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,3302.41
2021-11-18,Dickinson Wright PLLC,"1825 Eye Street, N.W., Suite 900",Washington,DC,20006,legal fees,2046.10
2021-11-18,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,10000.00
2021-11-18,"Salesforce.com, Inc.","415 Mission Street, 3rd Floor",San Francisco,CA,94105,database services,917.42
2021-11-18,Epyon Technologies,315 Beard Street,Tallahassee,FL,32303,IT and web support,7500.00
2021-11-19,Michael Hopkins Photography,738 S.W. 119th Way,Davie,FL,33325,photography,1362.46
2021-11-19,"Salesforce.com, Inc.","415 Mission Street, 3rd Floor",San Francisco,CA,94105,database services,4252.50
2021-11-19,"ZDB, Inc.",P.O. Box 347155,Coral Gables,FL,33234,fundraising consulting,36000.00
2021-11-19,Nicole Rees,1439 Spruce Avenue,Tallahassee,FL,32303,event supplies,116.38
2021-11-19,Nicole Rees,1439 Spruce Avenue,Tallahassee,FL,32303,software,800.00
2021-11-19,Timon Harper Photography,12222,"N. Paradise Village Pkwy., #221 Phoenix",AZ,85032,photography,405.00
2021-11-19,"Ace Specialties, LLC",P.O. Box 80427,Lafayette,LA,70598,store inventory,76684.16
2021-11-22,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,-15.00
2021-11-23,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,28.76
2021-11-23,Believe Media,15 E. Market Street,Leesburg,VA,20178,fundraising expense,7183.40
2021-11-23,Dickinson Wright PLLC,"1825 Eye Street, N.W., Suite 900",Washington,DC,20006,legal fees,753.50
2021-11-23,"Ace Specialties, LLC",P.O. Box 80427,Lafayette,LA,70598,store inventory,10176.00
2021-11-23,Nicole Rees,1439 Spruce Avenue,Tallahassee,FL,32303,travel,607.32
2021-11-23,Nicole Rees,1439 Spruce Avenue,Tallahassee,FL,32303,travel,394.97
2021-11-24,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,5089.40
2021-11-30,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,9.43
2021-11-30,Paramount Communications,"525K E. Market Street, #114",Leesburg,VA,20176,fundraising expense,576.00
2021-11-30,TMA Direct Inc.,"1900 Reston Metro Plaza, #600",Reston,VA,20190,fundraising expense,1893.50
2021-12-01,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,6342.04
2021-12-02,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,5490.33
2021-12-03,Republican Party of Florida,420 E. Jefferson Street,Tallahassee,FL,32301,digital consulting,5661.24
2021-12-03,Republican Party of Florida,420 E. Jefferson Street,Tallahassee,FL,32301,transportation,7052.50
2021-12-03,"Maverick Digital, Inc.",12111 Clear Harbor Drive,Tampa,FL,33626,digital media consulting,13775.00
2021-12-03,Epyon Technologies,315 Beard Street,Tallahassee,FL,32303,IT and web support,7500.00
2021-12-06,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,5254.50
2021-12-07,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,59.99
2021-12-08,Kristin Hueter & Associates,P.O. Box 8533,Emeryville,CA,94662,fundraising consulting,60150.00
2021-12-08,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,5.30
2021-12-08,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,401.04
2021-12-10,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,1951.20
2021-12-13,"Vandenberg and Associates, Inc.",3927 Elm Avenue,Long Beach,CA,90807,fundraising consulting,43000.00
2021-12-14,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,34.45
2021-12-14,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,10000.00
2021-12-15,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,961.90
2021-12-20,"Ello Creative, LLC",2003 Ellicott Drive,Tallahassee,FL,32308,digital consulting,4375.00
2021-12-20,"LovasCo, LLC","6635 W. Happy Valley Rd., #A104-198",Glendale,AZ,85310,fundraising consulting,37250.00
2021-12-20,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,19182.58
2021-12-20,"Shutts & Bowen, LLP",P. O. Box 919770,Orlando,FL,32891,legal fees,12807.97
2021-12-20,Tucker Obenshain,1828 Atlantis Place,Tallahassee,FL,32301,travel,327.72
2021-12-20,Robert Meyer,"1234 N. Bronough St., Apt. 3",Tallahassee,FL,32301,travel,69.94
2021-12-20,"Dana Goodson Photography, LLC",1639 White Owl Road,Fleming Island,FL,32003,photography,630.00
2021-12-20,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising expenses,3546.35
2021-12-21,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,33.18
2021-12-22,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,177.44
2021-12-22,Rosewood Sand Hill,2825 Sand Hill Road,Menlo Park,CA,94025,catering refund,-248.75
2021-12-28,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,6024.90
2022-01-04,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,41.07
2022-01-04,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,10351.32
2022-01-04,Epyon Technologies,315 Beard Street,Tallahassee,FL,32303,IT and web support,7500.00
2022-01-04,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,10880.81
2022-01-04,"Shutts & Bowen, LLP",P. O. Box 919770,Orlando,FL,32891,legal fees,637.50
2022-01-05,Believe Media,15 E. Market Street,Leesburg,VA,20178,fundraising expense,5241.60
2022-01-11,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,53.04
2022-01-11,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,2500.60
2022-01-14,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising expenses,297.00
2022-01-14,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,10000.00
2022-01-14,Nicole Rees,1439 Spruce Avenue,Tallahassee,FL,32303,reimbursement,131.28
2022-01-14,Nicole Rees,1439 Spruce Avenue,Tallahassee,FL,32303,reimbursement,65.92
2022-01-14,Republican Party of Florida,420 E. Jefferson Street,Tallahassee,FL,32301,digital consulting,3307.84
2022-01-14,The McIntosh Company,"5310 Harvet Hill Road, #209",Dallas,TX,75230,fundraising consulting,43834.25
2022-01-19,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,6653.30
2022-01-24,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,8522.74
2022-01-26,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,48.44
2022-02-01,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,10.32
2022-02-01,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,13511.05
2022-02-02,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,9335.45
2022-02-03,Republican Party of Florida,420 E. Jefferson Street,Tallahassee,FL,32301,digital consulting,2254.21
2022-02-03,Republican Party of Florida,420 E. Jefferson Street,Tallahassee,FL,32301,transportation,4431.00
2022-02-04,Tucker Obenshain,1828 Atlantis Place,Tallahassee,FL,32301,reimbursement,71.28
2022-02-04,Nicole Rees,1439 Spruce Avenue,Tallahassee,FL,32303,reimbursement,60.67
2022-02-04,Christine Stephenson,499 Thatch Palm Drive,Boca Raton,FL,33432,reimbursement,40.48
2022-02-04,Epyon Technologies,315 Beard Street,Tallahassee,FL,32303,IT and web support,7500.00
2022-02-04,Nicole Rees,1439 Spruce Avenue,Tallahassee,FL,32303,reimbursement,316.32
2022-02-04,"Emai Data Service, Inc.",9160 Guilford Road,Columbia,MD,21046,email services,38985.00
2022-02-08,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,21.32
2022-02-08,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,2287.02
2022-02-15,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,13469.88
2022-02-18,"FlexPoint Media, Inc.",P. O. Box 1051,New Albany,OH,43054,media placement,20000.00
2022-02-22,Christine Stephenson,2107 High Road,Tallahassee,FL,32303,reimbursement,9.54
2022-02-22,Michael Felici,"2221 Orange Avenue, E., #234",Tallahassee,FL,32311,reimbursement,104.89
2022-02-22,McKenzie Engel,2463 Tippecanoe Ridge,Tallahassee,FL,32303,reimbursement,580.71
2022-02-22,Nicole Rees,1439 Spruce Avenue,Tallahassee,FL,32303,reimbursement,483.51
2022-02-22,HMB Strategies,3167 Andalusia Avenue,Tallahassee,FL,32311,fundraising consulting,10000.00
2022-02-22,Michael Hopkins Photography,738 S.W. 119th Way,Davie,FL,33325,photography,2728.23
2022-02-23,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,9990.88
2022-03-02,Anedot,"1340 Poydras Street, #1770",New Orleans,LA,70112,credit card fees,12004.30
2022-03-03,Epyon Technologies,315 Beard Street,Tallahassee,FL,32303,IT and web support,7500.00
2022-03-08,Republican Party of Florida,420 E. Jefferson Street,Tallahassee,FL,32301,digital consulting,3084.16
2022-03-08,Republican Party of Florida,420 E. Jefferson Street,Tallahassee,FL,32301,transportation,7542.84
2022-03-08,"LovasCo, LLC","6635 W. Happy Valley Rd., #A104-198",Glendale,AZ,85310,fundraising consulting,2500.00
2022-03-08,Robert Watkins & Company,610 S. Boulevard,Tampa,FL,33606,accounting services,8085.11
2022-03-08,"WinRed Technical Services, LLC","1776 Wilson Blvd., #530",Arlington,VA,22209,processing fees,97.16
